id,name
1,Mystery
2,HistoricalFiction
3,SequentialArt
4,Classics
5,Philosophy
6,Romance
7,WomensFiction
8,Fiction
9,Childrens
10,Religion
11,Nonfiction
12,Music
13,Default
14,ScienceFiction
15,SportsandGames
16,Addacomment
17,Fantasy
18,NewAdult
19,YoungAdult
20,Science
21,Poetry
22,Paranormal
23,Art
24,Psychology
25,Autobiography
26,Parenting
27,AdultFiction
28,Humor
29,Horror
30,History
31,FoodandDrink
32,ChristianFiction
33,Business
34,Biography
35,Thriller
36,Contemporary
37,Spirituality
38,Academic
39,SelfHelp
40,Historical
41,Christian
42,Suspense
43,ShortStories
44,Novels
45,Health
46,Politics
47,Cultural
48,Erotica
49,Crime
