,Countries,National Income,Growth,Per person,Continent
0,United States,20412.87,2.27,62152.0,North America
1,China,14092.51,6.86,10088.0,Asia
2,Japan,5167.05,1.71,40849.0,Asia
3,Germany,4211.64,2.51,50842.0,Europe
4,United Kingdom,2936.29,1.79,44177.0,Europe
5,France,2925.1,1.85,44934.0,Europe
6,India,2848.23,6.74,2135.0,Asia
7,Italy,2181.97,1.47,35914.0,Europe
8,Brazil,2138.92,0.98,10224.0,South America
9,Canada,1798.51,3.0,48466.0,North America
10,Russia,1719.9,1.55,11947.0,Europe
11,Korea,1693.25,3.09,32775.0,Asia
12,Spain,1506.44,3.05,32559.0,Europe
13,Australia,1500.26,2.27,59655.0,Oceania
14,Mexico,1212.83,2.04,9723.0,North America
15,Indonesia,1074.97,5.07,4052.0,Asia
16,Netherlands,945.33,3.11,55185.0,Europe
17,Turkey,909.89,7.05,11114.0,Asia
18,Saudi Arabia,748.0,-0.74,2265.0,Asia
19,Switzerland,741.69,1.07,86835.0,Europe
20,Argentina,625.92,2.86,14044.0,South America
21,Poland,614.19,4.55,1618.0,Europe
22,Taiwan Province of China,613.3,2.79,25977.0,Asia
23,Sweden,600.77,2.4,58345.0,Europe
24,Belgium,562.23,1.71,49272.0,Europe
25,Thailand,483.74,3.9,6992.0,Asia
26,Austria,477.67,2.9,53764.0,Europe
27,Norway,443.25,1.81,82711.0,Europe
28,Islamic Republic of Iran,418.88,4.28,5086.0,Asia
29,United Arab Emirates,411.83,0.53,39484.0,Asia
30,Nigeria,408.61,0.82,2108.0,Africa
31,Ireland,385.14,7.81,80641.0,Europe
32,Israel,373.75,3.32,42115.0,Asia
33,South Africa,370.89,1.32,6459.0,Africa
34,Denmark,369.76,2.11,6383.0,Europe
35,Malaysia,364.92,5.9,11237.0,Asia
36,Hong Kong SAR,364.78,3.82,48829.0,Asia
37,Singapore,349.66,3.62,61767.0,Asia
38,Philippines,332.45,6.67,3095.0,Asia
39,Colombia,327.98,1.77,6581.0,South America
40,Pakistan,324.73,5.28,1615.0,Asia
41,Finland,289.56,2.99,52422.0,Europe
42,Bangladesh,285.82,7.14,1734.0,Asia
43,Chile,280.27,1.47,15087.0,South America
44,Egypt,253.25,4.23,2611.0,Africa
45,Czech Republic,251.58,4.29,2375.0,Europe
46,Portugal,248.89,2.67,24237.0,Europe
47,Romania,245.59,7.0,12575.0,Europe
48,Vietnam,240.78,6.81,2546.0,Asia
49,Peru,231.57,2.51,7199.0,South America
